seed,seat,opponent,arm,contrast,coins_control,coins_candidate,coins_delta,opponent_coins_control,opponent_coins_candidate,opponent_coins_delta,coin_margin_control,coin_margin_candidate,coin_margin_delta,local_match_score_control,local_match_score_candidate,local_match_score_delta,residual_product_units_control,residual_product_units_candidate,residual_product_units_delta,same_state_action_changes,water_commands_control,water_commands_candidate,decision
1601,0,livestock_fertilizer,coordinated,retire-control,44840.0,41510.0,-3330.0,44082.0,41240.0,-2842.0,758.0,270.0,-488.0,1.0,1.0,0.0,0,0,0,27,185,155,STOP_NEGATIVE_ENDPOINT
1601,0,livestock_fertilizer,coordinated,renew-control,44840.0,43451.0,-1389.0,44082.0,41639.0,-2443.0,758.0,1812.0,1054.0,1.0,1.0,0.0,0,0,0,29,185,196,STOP_NEGATIVE_ENDPOINT
