opponent,contrast,metric,effect,bootstrap_low,bootstrap_high,seed_clusters,seed_differences
relationship101,cash-bank,discarded_units,0.0,0.0,0.0,4,"{""1301"":0.0,""1302"":0.0,""1303"":0.0,""1304"":0.0}"
relationship101,cash-bank,minimum_observed_cash,0.0,0.0,0.0,4,"{""1301"":0.0,""1302"":0.0,""1303"":0.0,""1304"":0.0}"
market10,visible-bank,match_score,-0.5,-0.5,-0.5,4,"{""1301"":-0.5,""1302"":-0.5,""1303"":-0.5,""1304"":-0.5}"
market10,visible-bank,coins,-1568.25,-1596.25,-1539.25,4,"{""1301"":-1594.0,""1302"":-1521.0,""1303"":-1561.0,""1304"":-1597.0}"
market10,visible-bank,coin_margin,-3179.75,-3219.25,-3143.0,4,"{""1301"":-3188.0,""1302"":-3166.0,""1303"":-3128.0,""1304"":-3237.0}"
market10,visible-bank,discarded_units,0.0,0.0,0.0,4,"{""1301"":0.0,""1302"":0.0,""1303"":0.0,""1304"":0.0}"
market10,visible-bank,minimum_observed_cash,0.0,0.0,0.0,4,"{""1301"":0.0,""1302"":0.0,""1303"":0.0,""1304"":0.0}"
market10,history-visible,match_score,1.0,1.0,1.0,4,"{""1301"":1.0,""1302"":1.0,""1303"":1.0,""1304"":1.0}"
market10,history-visible,coins,1617.5,1570.5,1664.5,4,"{""1301"":1650.0,""1302"":1679.0,""1303"":1552.0,""1304"":1589.0}"
market10,history-visible,coin_margin,3272.5,3180.5,3356.0,4,"{""1301"":3320.0,""1302"":3392.0,""1303"":3134.0,""1304"":3244.0}"
market10,history-visible,discarded_units,0.0,0.0,0.0,4,"{""1301"":0.0,""1302"":0.0,""1303"":0.0,""1304"":0.0}"
market10,history-visible,minimum_observed_cash,0.0,0.0,0.0,4,"{""1301"":0.0,""1302"":0.0,""1303"":0.0,""1304"":0.0}"
market10,cash-history,match_score,0.0,0.0,0.0,4,"{""1301"":0.0,""1302"":0.0,""1303"":0.0,""1304"":0.0}"
market10,cash-history,coins,0.0,0.0,0.0,4,"{""1301"":0.0,""1302"":0.0,""1303"":0.0,""1304"":0.0}"
market10,cash-history,coin_margin,0.0,0.0,0.0,4,"{""1301"":0.0,""1302"":0.0,""1303"":0.0,""1304"":0.0}"
market10,cash-history,discarded_units,0.0,0.0,0.0,4,"{""1301"":0.0,""1302"":0.0,""1303"":0.0,""1304"":0.0}"
market10,cash-history,minimum_observed_cash,0.0,0.0,0.0,4,"{""1301"":0.0,""1302"":0.0,""1303"":0.0,""1304"":0.0}"
market10,cash-bank,match_score,0.5,0.5,0.5,4,"{""1301"":0.5,""1302"":0.5,""1303"":0.5,""1304"":0.5}"
market10,cash-bank,coins,49.25,-8.5,116.5,4,"{""1301"":56.0,""1302"":158.0,""1303"":-9.0,""1304"":-8.0}"
market10,cash-bank,coin_margin,92.75,6.5,179.0,4,"{""1301"":132.0,""1302"":226.0,""1303"":6.0,""1304"":7.0}"
market10,cash-bank,discarded_units,0.0,0.0,0.0,4,"{""1301"":0.0,""1302"":0.0,""1303"":0.0,""1304"":0.0}"
market10,cash-bank,minimum_observed_cash,0.0,0.0,0.0,4,"{""1301"":0.0,""1302"":0.0,""1303"":0.0,""1304"":0.0}"
