applied_units,arm,bought_units,coin_margin,coins,collected_units,commands_BUILD_COOP,commands_BUILD_PASTURE,commands_CARE,commands_COLLECT_FERTILIZER,commands_DIG,commands_EAST,commands_FEED,commands_HARVEST,commands_NORTH,commands_PASS,commands_PICKUP,commands_PLACE,commands_PLANT,commands_SOUTH,commands_WATER,commands_WEST,discarded_units,escaped_animals,fed_units,harvested_units,ineffective_farm_actions,lost_unfed_bonus_units,match_score,maximum_COW,maximum_GOOSE,maximum_SHEEP,minimum_observed_cash,opponent,overflow_production_units,seat,seed,sold_units,state_roundtrips,terminal_units,uncollected_manure_slots,commands_FERTILIZE
0,routine,180,0.0,35714.0,168,2,4,174,168,4,305,176,148,344,0,125,170,35,199,252,457,0,0,176,378,0,0,0.5,2,2,2,27.0,livestock_routine,4,1,1402,550,31,0,1,0.0
0,feed,129,-4139.0,33993.0,169,2,4,175,169,5,335,122,151,329,0,122,178,37,165,275,461,0,0,122,340,0,0,0.0,2,2,2,167.0,livestock_routine,0,1,1402,507,31,9,1,0.0
0,care,166,1447.0,37963.0,168,2,4,142,168,5,310,160,153,339,0,126,145,38,181,281,454,0,0,160,375,0,0,1.0,2,2,2,17.0,livestock_routine,0,1,1402,546,31,3,1,0.0
39,fertilizer,166,2398.0,40018.0,162,2,4,138,162,6,303,158,151,360,0,145,133,37,202,265,475,0,0,158,416,0,0,1.0,2,2,2,17.0,livestock_routine,0,1,1402,546,31,1,5,39.0
0,routine,180,17074.0,52610.0,167,2,4,170,167,5,323,176,147,340,0,127,164,34,210,254,457,0,0,176,367,0,0,1.0,2,2,2,47.0,market10,4,0,1403,538,31,0,2,0.0
0,feed,129,3769.0,43212.0,171,2,4,173,171,6,333,122,153,340,0,122,188,38,174,281,455,0,0,122,342,0,0,1.0,2,2,2,183.0,market10,0,0,1403,516,31,4,0,0.0
0,care,176,12189.0,50114.0,168,2,4,154,168,5,300,167,150,347,0,128,176,37,202,270,418,0,0,167,381,0,0,1.0,2,2,2,37.0,market10,0,0,1403,553,31,5,2,0.0
25,fertilizer,175,13553.0,51681.0,168,2,4,153,168,4,305,166,153,344,0,141,147,36,191,264,448,0,0,166,419,0,0,1.0,2,2,2,37.0,market10,0,0,1403,568,31,3,2,25.0
0,routine,180,0.0,42663.0,168,2,4,174,168,3,307,176,146,334,0,125,189,33,227,235,438,0,0,176,373,0,0,0.5,2,2,2,27.0,livestock_routine,4,0,1403,545,31,0,1,0.0
0,feed,129,-4161.0,39086.0,171,2,4,176,171,6,327,122,153,339,0,122,190,37,161,276,455,0,0,122,343,0,0,0.0,2,2,2,167.0,livestock_routine,0,0,1403,518,31,3,0,0.0
