arm,coin_margin,coins,match_score,opponent,policy_latency_max_ms,policy_latency_p95_ms,seat,seed,terminal_active_worker_mean,terminal_coordination_gap_mean,terminal_multiworker_callbacks,terminal_noops,terminal_residual_product_units,terminal_route_activations,terminal_routed_worker_mean
sequential,759.0,44837.0,1.0,livestock_fertilizer,366.9281080001383,21.81318820003071,0,1601,3.739130434782609,701.4782608695652,22,0,0,0,2.0434782608695654
coordinated,758.0,44840.0,1.0,livestock_fertilizer,447.7020269987406,22.14653660012118,0,1601,3.739130434782609,486.0,22,0,0,10,1.608695652173913
sequential,759.0,44837.0,1.0,livestock_fertilizer,322.46487800148316,6.442576099652797,1,1601,3.739130434782609,701.4782608695652,22,0,0,0,2.0434782608695654
coordinated,758.0,44840.0,1.0,livestock_fertilizer,432.3946900003648,5.6678709988773335,1,1601,3.739130434782609,486.0,22,0,0,10,1.608695652173913
sequential,1228.0,50872.0,1.0,livestock_fertilizer,357.6780699986557,17.85656410029333,0,1602,3.739130434782609,1507.0434782608695,22,0,14,0,2.130434782608696
coordinated,2115.0,51764.0,1.0,livestock_fertilizer,394.7343389991147,18.9831139985472,0,1602,3.739130434782609,916.4347826086956,22,0,1,15,1.9565217391304348
sequential,-47.0,50102.0,0.0,livestock_fertilizer,338.7746779990266,11.930786200900911,1,1602,3.739130434782609,1494.4347826086957,22,0,17,0,2.0869565217391304
