seed,seat,arm,product,candidate_units_sold,opponent_units_sold,candidate_first_sale_step,opponent_first_sale_step,candidate_first_sale_lead_actions
1204,0,00,WHEAT,51,37,600.0,600.0,0.0
1204,0,00,CARROT,12,2,697.0,713.0,16.0
1204,0,00,TOMATO,0,0,,,
1204,0,00,STRAWBERRY,52,76,671.0,672.0,1.0
1204,0,00,MELON,222,186,264.0,242.0,-22.0
1204,0,01,WHEAT,51,37,600.0,600.0,0.0
1204,0,01,CARROT,12,2,697.0,713.0,16.0
1204,0,01,TOMATO,0,0,,,
1204,0,01,STRAWBERRY,52,76,671.0,672.0,1.0
1204,0,01,MELON,222,186,264.0,242.0,-22.0
1204,0,10,WHEAT,32,24,600.0,600.0,0.0
1204,0,10,CARROT,8,5,694.0,696.0,2.0
1204,0,10,TOMATO,0,0,,,
1204,0,10,STRAWBERRY,72,76,672.0,671.0,-1.0
1204,0,10,MELON,186,180,242.0,242.0,0.0
1204,0,11,WHEAT,32,24,600.0,600.0,0.0
1204,0,11,CARROT,8,5,694.0,696.0,2.0
1204,0,11,TOMATO,0,0,,,
1204,0,11,STRAWBERRY,72,76,673.0,671.0,-2.0
1204,0,11,MELON,186,180,242.0,242.0,0.0
1204,1,00,WHEAT,51,37,600.0,600.0,0.0
1204,1,00,CARROT,12,2,697.0,713.0,16.0
1204,1,00,TOMATO,0,0,,,
1204,1,00,STRAWBERRY,52,76,671.0,672.0,1.0
1204,1,00,MELON,222,186,264.0,242.0,-22.0
1204,1,01,WHEAT,51,37,600.0,600.0,0.0
1204,1,01,CARROT,12,2,697.0,713.0,16.0
1204,1,01,TOMATO,0,0,,,
1204,1,01,STRAWBERRY,52,76,671.0,672.0,1.0
1204,1,01,MELON,222,186,264.0,242.0,-22.0
1204,1,10,WHEAT,32,24,600.0,600.0,0.0
1204,1,10,CARROT,8,5,694.0,696.0,2.0
1204,1,10,TOMATO,0,0,,,
1204,1,10,STRAWBERRY,72,76,672.0,671.0,-1.0
1204,1,10,MELON,186,180,242.0,242.0,0.0
1204,1,11,WHEAT,32,24,600.0,600.0,0.0
1204,1,11,CARROT,8,5,694.0,696.0,2.0
1204,1,11,TOMATO,0,0,,,
1204,1,11,STRAWBERRY,72,76,673.0,671.0,-2.0
1204,1,11,MELON,186,180,242.0,242.0,0.0
1205,0,00,WHEAT,40,28,600.0,600.0,0.0
1205,0,00,CARROT,23,13,672.0,672.0,0.0
1205,0,00,TOMATO,0,0,,,
1205,0,00,STRAWBERRY,48,75,672.0,672.0,0.0
1205,0,00,MELON,222,186,264.0,242.0,-22.0
1205,0,01,WHEAT,40,28,600.0,600.0,0.0
1205,0,01,CARROT,23,13,673.0,672.0,-1.0
1205,0,01,TOMATO,0,0,,,
1205,0,01,STRAWBERRY,48,75,673.0,672.0,-1.0
1205,0,01,MELON,222,186,264.0,242.0,-22.0
1205,0,10,WHEAT,0,0,,,
1205,0,10,CARROT,38,32,574.0,576.0,2.0
1205,0,10,TOMATO,0,0,,,
1205,0,10,STRAWBERRY,65,80,672.0,672.0,0.0
1205,0,10,MELON,186,180,242.0,242.0,0.0
1205,0,11,WHEAT,0,0,,,
1205,0,11,CARROT,38,32,574.0,576.0,2.0
1205,0,11,TOMATO,0,0,,,
1205,0,11,STRAWBERRY,72,80,673.0,672.0,-1.0
1205,0,11,MELON,186,180,242.0,242.0,0.0
1205,1,00,WHEAT,40,28,600.0,600.0,0.0
1205,1,00,CARROT,23,13,672.0,672.0,0.0
1205,1,00,TOMATO,0,0,,,
1205,1,00,STRAWBERRY,48,75,672.0,672.0,0.0
1205,1,00,MELON,222,186,264.0,242.0,-22.0
1205,1,01,WHEAT,40,28,600.0,600.0,0.0
1205,1,01,CARROT,23,13,673.0,672.0,-1.0
1205,1,01,TOMATO,0,0,,,
1205,1,01,STRAWBERRY,48,75,673.0,672.0,-1.0
1205,1,01,MELON,222,186,264.0,242.0,-22.0
1205,1,10,WHEAT,0,0,,,
1205,1,10,CARROT,38,32,574.0,576.0,2.0
1205,1,10,TOMATO,0,0,,,
1205,1,10,STRAWBERRY,65,80,672.0,672.0,0.0
1205,1,10,MELON,186,180,242.0,242.0,0.0
1205,1,11,WHEAT,0,0,,,
1205,1,11,CARROT,38,32,574.0,576.0,2.0
1205,1,11,TOMATO,0,0,,,
1205,1,11,STRAWBERRY,72,80,673.0,672.0,-1.0
1205,1,11,MELON,186,180,242.0,242.0,0.0
1206,0,00,WHEAT,69,41,600.0,600.0,0.0
1206,0,00,CARROT,0,0,,,
1206,0,00,TOMATO,0,0,,,
1206,0,00,STRAWBERRY,52,76,672.0,671.0,-1.0
1206,0,00,MELON,222,186,264.0,242.0,-22.0
1206,0,01,WHEAT,69,41,600.0,600.0,0.0
1206,0,01,CARROT,0,0,,,
1206,0,01,TOMATO,0,0,,,
1206,0,01,STRAWBERRY,52,76,673.0,671.0,-2.0
1206,0,01,MELON,222,186,264.0,242.0,-22.0
1206,0,10,WHEAT,41,40,600.0,600.0,0.0
1206,0,10,CARROT,0,0,,,
1206,0,10,TOMATO,0,0,,,
1206,0,10,STRAWBERRY,68,76,672.0,672.0,0.0
1206,0,10,MELON,186,180,242.0,242.0,0.0
1206,0,11,WHEAT,41,40,600.0,600.0,0.0
1206,0,11,CARROT,0,0,,,
1206,0,11,TOMATO,0,0,,,
1206,0,11,STRAWBERRY,68,76,672.0,672.0,0.0
1206,0,11,MELON,186,180,242.0,242.0,0.0
1206,1,00,WHEAT,59,40,600.0,600.0,0.0
1206,1,00,CARROT,10,0,696.0,,
1206,1,00,TOMATO,0,0,,,
1206,1,00,STRAWBERRY,52,72,672.0,671.0,-1.0
1206,1,00,MELON,222,186,264.0,242.0,-22.0
1206,1,01,WHEAT,59,40,601.0,600.0,-1.0
1206,1,01,CARROT,10,0,697.0,,
1206,1,01,TOMATO,0,0,,,
1206,1,01,STRAWBERRY,52,72,673.0,671.0,-2.0
1206,1,01,MELON,222,186,264.0,242.0,-22.0
1206,1,10,WHEAT,41,34,600.0,600.0,0.0
1206,1,10,CARROT,0,0,,,
1206,1,10,TOMATO,0,0,,,
1206,1,10,STRAWBERRY,65,76,672.0,672.0,0.0
1206,1,10,MELON,186,180,242.0,242.0,0.0
1206,1,11,WHEAT,41,34,600.0,600.0,0.0
1206,1,11,CARROT,0,0,,,
1206,1,11,TOMATO,0,0,,,
1206,1,11,STRAWBERRY,65,76,672.0,672.0,0.0
1206,1,11,MELON,186,180,242.0,242.0,0.0
