opponent,contrast,metric,effect,bootstrap_low,bootstrap_high,seed_clusters,seed_differences
livestock_fertilizer,feed-baseline,commands_CARE,0.0,0.0,0.0,4,"{""1501"":0.0,""1502"":0.0,""1503"":0.0,""1504"":0.0}"
livestock_fertilizer,feed-baseline,applied_units,0.0,0.0,0.0,4,"{""1501"":0.0,""1502"":0.0,""1503"":0.0,""1504"":0.0}"
livestock_fertilizer,feed-baseline,escaped_animals,0.0,0.0,0.0,4,"{""1501"":0.0,""1502"":0.0,""1503"":0.0,""1504"":0.0}"
livestock_fertilizer,feed-baseline,discarded_units,0.0,0.0,0.0,4,"{""1501"":0.0,""1502"":0.0,""1503"":0.0,""1504"":0.0}"
livestock_fertilizer,feed-baseline,terminal_feed,-2.0,-2.0,-2.0,4,"{""1501"":-2.0,""1502"":-2.0,""1503"":-2.0,""1504"":-2.0}"
livestock_fertilizer,feed-baseline,terminal_noops,0.0,0.0,0.0,4,"{""1501"":0.0,""1502"":0.0,""1503"":0.0,""1504"":0.0}"
livestock_fertilizer,feed-baseline,residual_product_units,-1.75,-7.5,4.0,4,"{""1501"":3.0,""1502"":5.0,""1503"":-7.0,""1504"":-8.0}"
livestock_fertilizer,feed-baseline,uncollected_manure_slots,0.0,0.0,0.0,4,"{""1501"":0.0,""1502"":0.0,""1503"":0.0,""1504"":0.0}"
livestock_fertilizer,feed-baseline,overflow_production_units,0.0,0.0,0.0,4,"{""1501"":0.0,""1502"":0.0,""1503"":0.0,""1504"":0.0}"
livestock_fertilizer,joint-feed,match_score,0.5,0.0,1.0,4,"{""1501"":1.0,""1502"":1.0,""1503"":0.0,""1504"":0.0}"
livestock_fertilizer,joint-feed,coins,358.75,-90.5,808.0,4,"{""1501"":591.0,""1502"":1025.0,""1503"":-89.0,""1504"":-92.0}"
livestock_fertilizer,joint-feed,coin_margin,350.25,-100.5,801.0,4,"{""1501"":584.0,""1502"":1018.0,""1503"":-96.0,""1504"":-105.0}"
livestock_fertilizer,joint-feed,fed_units,0.0,0.0,0.0,4,"{""1501"":0.0,""1502"":0.0,""1503"":0.0,""1504"":0.0}"
