opponent,contrast,metric,effect,bootstrap_low,bootstrap_high,seed_clusters,seed_differences
pooled,fertilizer-routine,discarded_units,0.0,0.0,0.0,4,"{""1401"":0.0,""1402"":0.0,""1403"":0.0,""1404"":0.0}"
pooled,fertilizer-routine,uncollected_manure_slots,0.75,-0.25,2.0,4,"{""1401"":0.5,""1402"":2.5,""1403"":0.5,""1404"":-0.5}"
pooled,fertilizer-routine,overflow_production_units,-4.0,-4.0,-4.0,4,"{""1401"":-4.0,""1402"":-4.0,""1403"":-4.0,""1404"":-4.0}"
market10,feed-routine,match_score,0.0,0.0,0.0,4,"{""1401"":0.0,""1402"":0.0,""1403"":0.0,""1404"":0.0}"
market10,feed-routine,coins,-7297.25,-9362.5,-5225.25,4,"{""1401"":-6606.0,""1402"":-3858.0,""1403"":-9398.0,""1404"":-9327.0}"
market10,feed-routine,coin_margin,-8973.75,-12191.5,-5644.75,4,"{""1401"":-9319.0,""1402"":-4420.0,""1403"":-13305.0,""1404"":-8851.0}"
market10,feed-routine,fed_units,-54.25,-54.75,-54.0,4,"{""1401"":-55.0,""1402"":-54.0,""1403"":-54.0,""1404"":-54.0}"
market10,feed-routine,commands_CARE,3.25,0.25,6.0,4,"{""1401"":-1.0,""1402"":7.0,""1403"":3.0,""1404"":4.0}"
market10,feed-routine,applied_units,0.0,0.0,0.0,4,"{""1401"":0.0,""1402"":0.0,""1403"":0.0,""1404"":0.0}"
market10,feed-routine,escaped_animals,0.0,0.0,0.0,4,"{""1401"":0.0,""1402"":0.0,""1403"":0.0,""1404"":0.0}"
market10,feed-routine,discarded_units,0.0,0.0,0.0,4,"{""1401"":0.0,""1402"":0.0,""1403"":0.0,""1404"":0.0}"
market10,feed-routine,uncollected_manure_slots,-1.0,-2.0,0.25,4,"{""1401"":1.0,""1402"":-1.0,""1403"":-2.0,""1404"":-2.0}"
market10,feed-routine,overflow_production_units,-4.0,-4.0,-4.0,4,"{""1401"":-4.0,""1402"":-4.0,""1403"":-4.0,""1404"":-4.0}"
market10,care-feed,match_score,0.0,0.0,0.0,4,"{""1401"":0.0,""1402"":0.0,""1403"":0.0,""1404"":0.0}"
market10,care-feed,coins,6669.5,5638.5,7394.0,4,"{""1401"":7050.0,""1402"":5168.0,""1403"":6902.0,""1404"":7558.0}"
market10,care-feed,coin_margin,6849.25,5836.25,7968.5,4,"{""1401"":6614.0,""1402"":5491.0,""1403"":8420.0,""1404"":6872.0}"
market10,care-feed,fed_units,44.5,43.5,45.0,4,"{""1401"":45.0,""1402"":45.0,""1403"":45.0,""1404"":43.0}"
market10,care-feed,commands_CARE,-20.0,-22.0,-19.0,4,"{""1401"":-19.0,""1402"":-19.0,""1403"":-19.0,""1404"":-23.0}"
market10,care-feed,applied_units,0.0,0.0,0.0,4,"{""1401"":0.0,""1402"":0.0,""1403"":0.0,""1404"":0.0}"
market10,care-feed,escaped_animals,0.0,0.0,0.0,4,"{""1401"":0.0,""1402"":0.0,""1403"":0.0,""1404"":0.0}"
market10,care-feed,discarded_units,0.0,0.0,0.0,4,"{""1401"":0.0,""1402"":0.0,""1403"":0.0,""1404"":0.0}"
market10,care-feed,uncollected_manure_slots,1.0,-0.5,2.5,4,"{""1401"":-1.0,""1402"":0.0,""1403"":2.0,""1404"":3.0}"
market10,care-feed,overflow_production_units,0.0,0.0,0.0,4,"{""1401"":0.0,""1402"":0.0,""1403"":0.0,""1404"":0.0}"
market10,fertilizer-care,match_score,0.0,0.0,0.0,4,"{""1401"":0.0,""1402"":0.0,""1403"":0.0,""1404"":0.0}"
market10,fertilizer-care,coins,2958.25,1668.0,4248.5,4,"{""1401"":4759.0,""1402"":1791.0,""1403"":1545.0,""1404"":3738.0}"
market10,fertilizer-care,coin_margin,3179.0,1497.0,4861.0,4,"{""1401"":5474.0,""1402"":2199.0,""1403"":795.0,""1404"":4248.0}"
market10,fertilizer-care,fed_units,-0.25,-1.0,1.25,4,"{""1401"":-1.0,""1402"":-1.0,""1403"":-1.0,""1404"":2.0}"
market10,fertilizer-care,commands_CARE,-0.25,-2.0,2.5,4,"{""1401"":-2.0,""1402"":-2.0,""1403"":-1.0,""1404"":4.0}"
market10,fertilizer-care,applied_units,30.25,26.5,34.25,4,"{""1401"":36.0,""1402"":31.0,""1403"":25.0,""1404"":29.0}"
market10,fertilizer-care,escaped_animals,0.0,0.0,0.0,4,"{""1401"":0.0,""1402"":0.0,""1403"":0.0,""1404"":0.0}"
market10,fertilizer-care,discarded_units,0.0,0.0,0.0,4,"{""1401"":0.0,""1402"":0.0,""1403"":0.0,""1404"":0.0}"
market10,fertilizer-care,uncollected_manure_slots,-0.25,-2.25,1.5,4,"{""1401"":0.0,""1402"":2.0,""1403"":0.0,""1404"":-3.0}"
market10,fertilizer-care,overflow_production_units,0.0,0.0,0.0,4,"{""1401"":0.0,""1402"":0.0,""1403"":0.0,""1404"":0.0}"
market10,fertilizer-routine,match_score,0.0,0.0,0.0,4,"{""1401"":0.0,""1402"":0.0,""1403"":0.0,""1404"":0.0}"
market10,fertilizer-routine,coins,2330.5,62.0,4394.5,4,"{""1401"":5203.0,""1402"":3101.0,""1403"":-951.0,""1404"":1969.0}"
market10,fertilizer-routine,coin_margin,1054.5,-2375.25,3019.75,4,"{""1401"":2769.0,""1402"":3270.0,""1403"":-4090.0,""1404"":2269.0}"
market10,fertilizer-routine,fed_units,-10.0,-10.75,-9.25,4,"{""1401"":-11.0,""1402"":-10.0,""1403"":-10.0,""1404"":-9.0}"
market10,fertilizer-routine,commands_CARE,-17.0,-20.25,-14.5,4,"{""1401"":-22.0,""1402"":-14.0,""1403"":-17.0,""1404"":-15.0}"
market10,fertilizer-routine,applied_units,30.25,26.5,34.25,4,"{""1401"":36.0,""1402"":31.0,""1403"":25.0,""1404"":29.0}"
market10,fertilizer-routine,escaped_animals,0.0,0.0,0.0,4,"{""1401"":0.0,""1402"":0.0,""1403"":0.0,""1404"":0.0}"
market10,fertilizer-routine,discarded_units,0.0,0.0,0.0,4,"{""1401"":0.0,""1402"":0.0,""1403"":0.0,""1404"":0.0}"
market10,fertilizer-routine,uncollected_manure_slots,-0.25,-1.5,0.75,4,"{""1401"":0.0,""1402"":1.0,""1403"":0.0,""1404"":-2.0}"
market10,fertilizer-routine,overflow_production_units,-4.0,-4.0,-4.0,4,"{""1401"":-4.0,""1402"":-4.0,""1403"":-4.0,""1404"":-4.0}"
livestock_routine,feed-routine,match_score,-0.5,-0.5,-0.5,4,"{""1401"":-0.5,""1402"":-0.5,""1403"":-0.5,""1404"":-0.5}"
livestock_routine,feed-routine,coins,-3917.0,-5185.0,-2517.5,4,"{""1401"":-5463.0,""1402"":-1721.0,""1403"":-3577.0,""1404"":-4907.0}"
livestock_routine,feed-routine,coin_margin,-5527.25,-6904.5,-4150.0,4,"{""1401"":-6722.0,""1402"":-4139.0,""1403"":-4161.0,""1404"":-7087.0}"
livestock_routine,feed-routine,fed_units,-54.0,-54.0,-54.0,4,"{""1401"":-54.0,""1402"":-54.0,""1403"":-54.0,""1404"":-54.0}"
livestock_routine,feed-routine,commands_CARE,0.25,-1.25,1.5,4,"{""1401"":-2.0,""1402"":1.0,""1403"":2.0,""1404"":0.0}"
livestock_routine,feed-routine,applied_units,0.0,0.0,0.0,4,"{""1401"":0.0,""1402"":0.0,""1403"":0.0,""1404"":0.0}"
livestock_routine,feed-routine,escaped_animals,0.0,0.0,0.0,4,"{""1401"":0.0,""1402"":0.0,""1403"":0.0,""1404"":0.0}"
livestock_routine,feed-routine,discarded_units,0.0,0.0,0.0,4,"{""1401"":0.0,""1402"":0.0,""1403"":0.0,""1404"":0.0}"
livestock_routine,feed-routine,uncollected_manure_slots,-0.75,-1.0,-0.25,4,"{""1401"":-1.0,""1402"":0.0,""1403"":-1.0,""1404"":-1.0}"
livestock_routine,feed-routine,overflow_production_units,-4.0,-4.0,-4.0,4,"{""1401"":-4.0,""1402"":-4.0,""1403"":-4.0,""1404"":-4.0}"
livestock_routine,care-feed,match_score,1.0,1.0,1.0,4,"{""1401"":1.0,""1402"":1.0,""1403"":1.0,""1404"":1.0}"
livestock_routine,care-feed,coins,2929.5,-1594.5,6262.0,4,"{""1401"":7026.0,""1402"":3970.0,""1403"":-3550.0,""1404"":4272.0}"
livestock_routine,care-feed,coin_margin,6444.0,5227.0,7661.0,4,"{""1401"":7258.0,""1402"":5586.0,""1403"":4868.0,""1404"":8064.0}"
livestock_routine,care-feed,fed_units,39.75,38.0,43.25,4,"{""1401"":45.0,""1402"":38.0,""1403"":38.0,""1404"":38.0}"
livestock_routine,care-feed,commands_CARE,-29.25,-33.5,-21.75,4,"{""1401"":-18.0,""1402"":-33.0,""1403"":-34.0,""1404"":-32.0}"
