seed,seat,opponent,arm,role,prefix_action_parity_checks,source_final_reward_parity,final_market_changed,shared_final_state_sha256,coins_control,coins_guarded,coins_delta,opponent_coins_control,opponent_coins_guarded,opponent_coins_delta,coin_margin_control,coin_margin_guarded,coin_margin_delta,local_match_score_control,local_match_score_guarded,local_match_score_delta,residual_product_units_control,residual_product_units_guarded,residual_product_units_delta
1601,0,livestock_fertilizer,coordinated,primary,22,True,False,9317f5360a2d58de460bb7603f2951cdb3d945864512d163e76d20f87fd33aff,44840.0,44840.0,0.0,44082.0,44082.0,0.0,758.0,758.0,0.0,1.0,1.0,0.0,0,0,0
1601,0,livestock_fertilizer,sequential,negative_control,22,True,False,2ae7bd400a0e6204d938e482f87a9af806ec3ca5dc04aeb2d9541af635657404,44837.0,44837.0,0.0,44078.0,44078.0,0.0,759.0,759.0,0.0,1.0,1.0,0.0,0,0,0
1601,1,livestock_fertilizer,coordinated,primary,22,True,False,8fb1ee965c60a961e1e2bfca0c8104bfbb3c947638b9e712d4823ebf4120131a,44840.0,44840.0,0.0,44082.0,44082.0,0.0,758.0,758.0,0.0,1.0,1.0,0.0,0,0,0
1601,1,livestock_fertilizer,sequential,negative_control,22,True,False,88deec03aa4a3e2083b31f45f1bc1ddc5f2e5cc5d3c09076816820a7e31bd5df,44837.0,44837.0,0.0,44078.0,44078.0,0.0,759.0,759.0,0.0,1.0,1.0,0.0,0,0,0
1602,0,livestock_fertilizer,coordinated,primary,22,True,True,fc45b93be018e984e50d1e9eb1a8e44a7718ec59551a71ec35bb32c1e149ce47,51764.0,51806.0,42.0,49649.0,49649.0,0.0,2115.0,2157.0,42.0,1.0,1.0,0.0,1,0,-1
1602,0,livestock_fertilizer,sequential,negative_control,22,True,False,d5a1c290494b9e082913546b350beaf09d263d43556893a0bff930eddd0e5d05,50872.0,50872.0,0.0,49644.0,49644.0,0.0,1228.0,1228.0,0.0,1.0,1.0,0.0,14,14,0
1602,1,livestock_fertilizer,sequential,negative_control,22,True,False,512aa7bfdfb343758d1f6c737557697b4e63300b92ea9e347402fc041685e661,50102.0,50102.0,0.0,50149.0,50149.0,0.0,-47.0,-47.0,0.0,0.0,0.0,0.0,17,17,0
